moe_tp_size,moe_ep_size,distribution,kernel_source,num_tokens_bucket,count,latency_us_p50_min,latency_us_p50_max
1,4,balanced,vllm_fused_moe,1-4,3,26.6,53.2
1,4,balanced,vllm_fused_moe,512+,2,432.6,642.0
1,4,balanced,vllm_fused_moe,64-128,2,355.8,378.9
1,4,balanced,vllm_fused_moe,8-32,3,184.3,351.2
1,4,power_law_1.01,vllm_fused_moe,1-4,3,27.6,45.0
1,4,power_law_1.01,vllm_fused_moe,512+,2,438.8,802.3
1,4,power_law_1.01,vllm_fused_moe,64-128,2,293.9,360.4
1,4,power_law_1.01,vllm_fused_moe,8-32,3,164.9,221.6
1,4,power_law_1.2,vllm_fused_moe,1-4,3,30.7,57.3
1,4,power_law_1.2,vllm_fused_moe,512+,2,428.5,894.0
1,4,power_law_1.2,vllm_fused_moe,64-128,2,245.8,336.4
1,4,power_law_1.2,vllm_fused_moe,8-32,3,107.5,208.9
4,1,balanced,vllm_fused_moe,1-4,3,23.0,60.4
4,1,balanced,vllm_fused_moe,512+,2,400.4,551.4
4,1,balanced,vllm_fused_moe,64-128,2,349.2,368.1
4,1,balanced,vllm_fused_moe,8-32,3,182.3,351.2
4,1,power_law_1.01,vllm_fused_moe,1-4,3,23.0,47.1
4,1,power_law_1.01,vllm_fused_moe,512+,2,406.5,643.1
4,1,power_law_1.01,vllm_fused_moe,64-128,2,273.4,352.3
4,1,power_law_1.01,vllm_fused_moe,8-32,3,109.6,222.2
4,1,power_law_1.2,vllm_fused_moe,1-4,3,23.0,46.6
4,1,power_law_1.2,vllm_fused_moe,512+,2,401.4,717.8
4,1,power_law_1.2,vllm_fused_moe,64-128,2,240.6,331.8
4,1,power_law_1.2,vllm_fused_moe,8-32,3,70.6,187.4
